	date	store	item	sales
0	2013-01-01	1	1	13
1	2013-01-02	1	1	11
2	2013-01-03	1	1	14
3	2013-01-04	1	1	13
4	2013-01-05	1	1	10
5	2013-01-06	1	1	12
6	2013-01-07	1	1	10
7	2013-01-08	1	1	9
8	2013-01-09	1	1	12
9	2013-01-10	1	1	9
10	2013-01-11	1	1	9
11	2013-01-12	1	1	7
12	2013-01-13	1	1	10
13	2013-01-14	1	1	12
14	2013-01-15	1	1	5
15	2013-01-16	1	1	7
16	2013-01-17	1	1	16
17	2013-01-18	1	1	7
18	2013-01-19	1	1	18
19	2013-01-20	1	1	15
20	2013-01-21	1	1	8
21	2013-01-22	1	1	7
22	2013-01-23	1	1	9
23	2013-01-24	1	1	8
24	2013-01-25	1	1	14
25	2013-01-26	1	1	12
26	2013-01-27	1	1	12
27	2013-01-28	1	1	11
28	2013-01-29	1	1	6
29	2013-01-30	1	1	9
30	2013-01-31	1	1	13
31	2013-02-01	1	1	11
32	2013-02-02	1	1	21
33	2013-02-03	1	1	15
34	2013-02-04	1	1	14
35	2013-02-05	1	1	9
36	2013-02-06	1	1	10
37	2013-02-07	1	1	13
38	2013-02-08	1	1	11
39	2013-02-09	1	1	14
40	2013-02-10	1	1	11
41	2013-02-11	1	1	16
42	2013-02-12	1	1	11
43	2013-02-13	1	1	14
44	2013-02-14	1	1	10
45	2013-02-15	1	1	11
46	2013-02-16	1	1	7
47	2013-02-17	1	1	11
48	2013-02-18	1	1	10
49	2013-02-19	1	1	10
50	2013-02-20	1	1	7
51	2013-02-21	1	1	13
52	2013-02-22	1	1	12
53	2013-02-23	1	1	15
54	2013-02-24	1	1	11
55	2013-02-25	1	1	7
56	2013-02-26	1	1	9
57	2013-02-27	1	1	9
58	2013-02-28	1	1	10
59	2013-03-01	1	1	15
60	2013-03-02	1	1	13
61	2013-03-03	1	1	20
62	2013-03-04	1	1	14
63	2013-03-05	1	1	13
64	2013-03-06	1	1	17
65	2013-03-07	1	1	11
66	2013-03-08	1	1	15
67	2013-03-09	1	1	16
68	2013-03-10	1	1	11
69	2013-03-11	1	1	18
70	2013-03-12	1	1	14
71	2013-03-13	1	1	13
72	2013-03-14	1	1	10
73	2013-03-15	1	1	14
74	2013-03-16	1	1	10
75	2013-03-17	1	1	22
76	2013-03-18	1	1	11
77	2013-03-19	1	1	19
78	2013-03-20	1	1	14
79	2013-03-21	1	1	17
80	2013-03-22	1	1	21
81	2013-03-23	1	1	21
82	2013-03-24	1	1	19
83	2013-03-25	1	1	13
84	2013-03-26	1	1	16
85	2013-03-27	1	1	11
86	2013-03-28	1	1	13
87	2013-03-29	1	1	17
88	2013-03-30	1	1	19
89	2013-03-31	1	1	20
90	2013-04-01	1	1	11
91	2013-04-02	1	1	19
92	2013-04-03	1	1	24
93	2013-04-04	1	1	18
94	2013-04-05	1	1	19
95	2013-04-06	1	1	23
96	2013-04-07	1	1	17
97	2013-04-08	1	1	19
98	2013-04-09	1	1	13
99	2013-04-10	1	1	19
100	2013-04-11	1	1	16
101	2013-04-12	1	1	18
102	2013-04-13	1	1	17
103	2013-04-14	1	1	26
104	2013-04-15	1	1	14
105	2013-04-16	1	1	9
106	2013-04-17	1	1	17
107	2013-04-18	1	1	21
108	2013-04-19	1	1	22
109	2013-04-20	1	1	22
110	2013-04-21	1	1	20
111	2013-04-22	1	1	13
112	2013-04-23	1	1	11
113	2013-04-24	1	1	13
114	2013-04-25	1	1	14
115	2013-04-26	1	1	20
116	2013-04-27	1	1	22
117	2013-04-28	1	1	19
118	2013-04-29	1	1	11
119	2013-04-30	1	1	15
120	2013-05-01	1	1	16
121	2013-05-02	1	1	23
122	2013-05-03	1	1	22
123	2013-05-04	1	1	20
124	2013-05-05	1	1	14
125	2013-05-06	1	1	14
126	2013-05-07	1	1	15
127	2013-05-08	1	1	14
128	2013-05-09	1	1	11
129	2013-05-10	1	1	16
130	2013-05-11	1	1	19
131	2013-05-12	1	1	13
132	2013-05-13	1	1	9
133	2013-05-14	1	1	13
134	2013-05-15	1	1	16
135	2013-05-16	1	1	15
136	2013-05-17	1	1	16
137	2013-05-18	1	1	20
138	2013-05-19	1	1	19
139	2013-05-20	1	1	14
140	2013-05-21	1	1	24
141	2013-05-22	1	1	23
142	2013-05-23	1	1	14
143	2013-05-24	1	1	24
144	2013-05-25	1	1	25
145	2013-05-26	1	1	27
146	2013-05-27	1	1	7
147	2013-05-28	1	1	12
148	2013-05-29	1	1	10
149	2013-05-30	1	1	19
150	2013-05-31	1	1	27
151	2013-06-01	1	1	26
152	2013-06-02	1	1	22
153	2013-06-03	1	1	12
154	2013-06-04	1	1	15
155	2013-06-05	1	1	24
156	2013-06-06	1	1	9
157	2013-06-07	1	1	21
158	2013-06-08	1	1	20
159	2013-06-09	1	1	38
160	2013-06-10	1	1	20
161	2013-06-11	1	1	18
162	2013-06-12	1	1	22
163	2013-06-13	1	1	21
164	2013-06-14	1	1	22
165	2013-06-15	1	1	26
166	2013-06-16	1	1	23
167	2013-06-17	1	1	13
168	2013-06-18	1	1	21
169	2013-06-19	1	1	18
170	2013-06-20	1	1	24
171	2013-06-21	1	1	19
172	2013-06-22	1	1	23
173	2013-06-23	1	1	24
174	2013-06-24	1	1	17
175	2013-06-25	1	1	21
176	2013-06-26	1	1	21
177	2013-06-27	1	1	26
178	2013-06-28	1	1	17
179	2013-06-29	1	1	20
180	2013-06-30	1	1	24
181	2013-07-01	1	1	23
182	2013-07-02	1	1	17
183	2013-07-03	1	1	12
184	2013-07-04	1	1	24
185	2013-07-05	1	1	17
186	2013-07-06	1	1	16
187	2013-07-07	1	1	34
188	2013-07-08	1	1	20
189	2013-07-09	1	1	23
190	2013-07-10	1	1	14
191	2013-07-11	1	1	25
192	2013-07-12	1	1	29
193	2013-07-13	1	1	22
194	2013-07-14	1	1	29
195	2013-07-15	1	1	18
196	2013-07-16	1	1	12
197	2013-07-17	1	1	16
198	2013-07-18	1	1	21
199	2013-07-19	1	1	25
200	2013-07-20	1	1	25
201	2013-07-21	1	1	26
202	2013-07-22	1	1	18
203	2013-07-23	1	1	17
204	2013-07-24	1	1	21
205	2013-07-25	1	1	21
206	2013-07-26	1	1	31
207	2013-07-27	1	1	19
208	2013-07-28	1	1	25
209	2013-07-29	1	1	8
210	2013-07-30	1	1	26
211	2013-07-31	1	1	27
212	2013-08-01	1	1	21
213	2013-08-02	1	1	19
214	2013-08-03	1	1	24
215	2013-08-04	1	1	26
216	2013-08-05	1	1	17
217	2013-08-06	1	1	10
218	2013-08-07	1	1	25
219	2013-08-08	1	1	20
220	2013-08-09	1	1	19
221	2013-08-10	1	1	22
222	2013-08-11	1	1	25
223	2013-08-12	1	1	10
224	2013-08-13	1	1	11
225	2013-08-14	1	1	19
226	2013-08-15	1	1	22
